ex_date,pay_date,dividend_per_share
2015-03-20,2015-04-30,0.93081
2015-06-19,2015-07-31,1.03007
2015-09-18,2015-10-30,1.03343
2015-12-18,2016-01-29,1.21155
2016-03-18,2016-04-29,1.049604
2016-06-17,2016-07-29,1.078442
2016-09-16,2016-10-31,1.082068
2016-12-16,2017-01-31,1.32893
2017-03-17,2017-04-28,1.033118
2017-06-16,2017-07-31,1.183108
2017-09-15,2017-10-31,1.234574
2017-12-15,2018-01-31,1.351333
2018-03-16,2018-04-30,1.096775
2018-06-15,2018-07-31,1.245568
2018-09-21,2018-10-31,1.322611
2018-12-21,2019-01-31,1.435429
2019-03-15,2019-04-30,1.233119
2019-06-21,2019-07-31,1.43164
2019-09-20,2019-10-31,1.383619
2019-12-20,2020-01-31,1.569992
2020-03-20,2020-04-30,1.405559
2020-06-19,2020-07-31,1.366242
2020-09-18,2020-10-30,1.339224
2020-12-18,2021-01-29,1.58
2021-03-19,2021-04-30,1.277788
2021-06-18,2021-07-30,1.375875
2021-09-17,2021-10-29,1.428117
2021-12-17,2022-01-31,1.636431
2022-03-18,2022-04-29,1.366009
2022-06-17,2022-07-29,1.576871
2022-09-16,2022-10-31,1.596398
2022-12-16,2023-01-31,1.7814
2023-03-17,2023-04-28,1.506204
2023-06-16,2023-07-31,1.638367
2023-09-15,2023-10-31,1.583169
2023-12-15,2024-01-31,1.906073
2024-03-15,2024-04-30,1.594937
2024-06-21,2024-07-31,1.759024
2024-09-20,2024-10-31,1.745531
2024-12-20,2025-01-31,1.965548
2025-03-21,2025-04-30,1.695528
2025-06-20,2025-07-31,1.761117
2025-09-19,2025-10-31,1.831114
2025-12-19,2026-01-30,1.993368
2026-03-20,2026-04-30,1.796999
2026-06-18,2026-07-31,1.903516
2026-09-18,2026-10-30,1.888834
